2.236067918587983719e-02 5.333265426372353624e-02 5.333265426372353624e-02 -1.721291055040737820e-03 1.294917997740023009e-03
2.236067918587614570e-02 6.049606764290694008e-03 6.049606764290694008e-03 -5.574418954009232978e-03 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507127115714e-04 -7.635754507127115714e-04 2.333144170278672450e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507259148770e-04 -7.635754507259148770e-04 2.333144170452267584e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507174060584e-04 -7.635754507174060584e-04 2.333144170278397605e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507225244684e-04 -7.635754507225244684e-04 2.333144170339069830e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507225716312e-04 -7.635754507225716312e-04 2.333144170315260208e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226759314e-04 -7.635754507226759314e-04 2.333144170333215680e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226833040e-04 -7.635754507226833040e-04 2.333144170327711457e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226722452e-04 -7.635754507226722452e-04 2.333144170331860970e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170330057941e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226727873e-04 -7.635754507226727873e-04 2.333144170341028170e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226721367e-04 -7.635754507226721367e-04 2.333144170328349239e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226722452e-04 -7.635754507226722452e-04 2.333144170338384343e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170341612826e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170328970487e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170346809949e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170335505515e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331751465e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331053239e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170332039321e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331962614e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331972371e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331976708e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331971829e-04 1.294917997740023009e-03
2.236067918588109660e-02 -7.635754507226720283e-04 -7.635754507226720283e-04 2.333144170331971287e-04 1.294917997740023009e-03
