0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.276425392265746128e-05 4.404659146406410492e-05 4.431714711192815152e-05 -2.910844024805031560e-05 -7.006889287273171923e-06 1.993878263535042537e-05 -1.560141957015871439e+00
-4.552536273780009905e-05 8.806004036270092758e-05 8.858142727308140202e-05 -5.817300099136667050e-05 -1.401611865189758508e-05 3.987549272306474172e-05 -3.120079267931868294e+00
-6.828332514963236712e-05 1.320403264270455124e-04 1.327928047001297306e-04 -8.719366379964050228e-05 -2.102763798301023924e-05 5.981018198640164105e-05 -4.679811851997656369e+00
-9.103813984859141168e-05 1.759874294938513530e-04 1.769512433909149599e-04 -1.161703705473737439e-04 -2.804147048345019772e-05 7.974286543659160902e-05 -6.239339627515160913e+00
-1.137898055234616584e-04 2.199013293070870999e-04 2.210567073724907072e-04 -1.451030587402347863e-04 -3.505763602139947397e-05 9.967353448528226527e-05 -7.798662512875362829e+00
-1.365383208466447841e-04 2.637820056652423668e-04 2.651091597744704271e-04 -1.739916671828349614e-04 -4.207616916454793118e-05 1.196021740269744964e-04 -9.357780425519599987e+00
-1.592836845088798617e-04 3.076294383099146949e-04 3.091085630425245462e-04 -2.028361457468308578e-04 -4.909711008275104160e-05 1.395287846645123034e-04 -1.091669328426655916e+01
-1.820258951801387217e-04 3.514436069157269335e-04 3.530548794175371622e-04 -2.316364622879880984e-04 -5.612047831000138601e-05 1.594533662256514956e-04 -1.247540100670266483e+01
-2.047649515354693617e-04 3.952244909088508513e-04 3.969480726544658803e-04 -2.603925933682401999e-04 -6.314628526608510840e-05 1.793759118947580106e-04 -1.403390351096256161e+01
-2.275008522407969227e-04 4.389720694824658805e-04 4.407881102052723255e-04 -2.891045170921299539e-04 -7.017454677651965963e-05 1.992964337520564187e-04 -1.559220071459565915e+01
-2.502335959748965368e-04 4.826863216329456115e-04 4.845749632335981751e-04 -3.177722182584688808e-04 -7.720528095300539806e-05 2.192149380431292758e-04 -1.715029253582105540e+01
-2.729631814002971089e-04 5.263672263717808280e-04 5.283086078502281704e-04 -3.463956953838361183e-04 -8.423847825933437298e-05 2.391314155980454642e-04 -1.870817889164043279e+01
-2.956896072062622886e-04 5.700147625488866457e-04 5.719890288505442020e-04 -3.749749452449435477e-04 -9.127410203293365024e-05 2.590458574233569893e-04 -2.026585970041423934e+01
-3.184128720769353643e-04 6.136289090020747433e-04 6.156162148736780233e-04 -4.035099874697746524e-04 -9.831210939046099401e-05 2.789582454985520374e-04 -2.182333487963455099e+01
-3.411329746990924465e-04 6.572096446075825511e-04 6.591901543868709454e-04 -4.320008258252531629e-04 -1.053524858464702501e-04 2.988685549077346021e-04 -2.338060434675337973e+01
-3.638499137490205319e-04 7.007569481318592355e-04 7.027108280404886602e-04 -4.604474716495584978e-04 -1.123951805272896474e-04 3.187767768682308223e-04 -2.493766801836063252e+01
-3.865636879317381914e-04 7.442707981698732950e-04 7.461782111449680567e-04 -4.888499435704631588e-04 -1.194402026496328007e-04 3.386828810259005437e-04 -2.649452581323028966e+01
-4.092826737460641636e-04 7.878163102902176673e-04 7.981365433155916981e-04 -6.733806109217859315e-04 -2.121649833519650247e-04 7.904900864539796384e-04 -2.805111989752035129e+01
